objectid,year,state,agency,fire_name,alarm_date,containment_date,cause,collection_method,management_objective,gis_calculated_acres,decades,shape__area,shape__length
145,2025,CA,CDF,FELIPE,2025-05-01,2025-05-01,2,4,1.0,59.91574,2020-2025,329227.6641,3299.102228
146,2025,CA,CCO,WIND,2025-08-12,2025-08-12,14,1,1.0,59.40875,2020-2025,341616.8789,4290.849802
147,2025,CA,LRA,MARIA,2025-06-16,2025-06-16,14,7,1.0,58.63367,2020-2025,348882.0625,3893.399744
148,2025,CA,CDF,BAXTER,2025-05-15,2025-05-16,14,3,1.0,58.50809,2020-2025,342290.7734,3852.705815
149,2025,CA,USF,FLUME,2025-07-06,2025-07-15,10,8,1.0,58.28129,2020-2025,362604.3945,4655.693371
150,2025,CA,LRA,SUNSET,2025-05-18,2025-05-18,10,1,1.0,57.56446,2020-2025,384384.0117,3052.555423
151,2025,CA,CDF,BEALE AFB GRASS VALLEY GATE,2025-05-23,2025-05-23,14,1,1.0,56.78709,2020-2025,382288.3398,3341.055286
152,2025,CA,CDF,JUNIPER,2025-05-28,2025-06-02,14,1,1.0,56.71992,2020-2025,410672.5781,6129.770645
153,2025,CA,LRA,CRUMP,2025-09-06,2025-09-06,14,3,1.0,55.24618,2020-2025,323953.1055,3504.120251
154,2025,CA,CDF,VAIL,2025-08-23,2025-08-23,1,3,1.0,54.9739,2020-2025,320769.5117,4351.845182
155,2025,CA,CDF,RED,2025-06-26,2025-06-26,10,2,1.0,54.064,2020-2025,344438.6758,3518.275215
156,2025,CA,CDF,JURY,2025-07-19,2025-07-19,11,1,1.0,53.71318,2020-2025,349840.8047,4344.070228
157,2025,CA,BLM,DEBBIE,2025-07-16,2025-07-17,14,7,1.0,53.37561,2020-2025,369527.6797,3886.924801
158,2025,CA,CDF,ELWOOD,2025-07-03,2025-07-04,11,4,1.0,52.9217,2020-2025,334789.0547,3442.888257
159,2025,CA,CDF,SHADY,2025-07-25,2025-07-27,14,3,1.0,52.4022,2020-2025,306591.9844,3582.086606
160,2025,CA,CCO,JACK,2025-06-06,2025-06-06,14,1,1.0,51.1434,2020-2025,314578.6289,3083.483474
161,2025,CA,CDF,LASSEN,2025-08-01,2025-08-01,14,1,1.0,50.84476,2020-2025,350206.9766,3777.60254
162,2025,CA,CDF,CLARK,2025-08-10,2025-08-13,5,3,1.0,50.71144,2020-2025,359752.3633,3258.940054
163,2025,CA,CDF,WALNUT,2025-05-18,2025-05-18,10,1,1.0,50.69104,2020-2025,329773.4844,2762.509705
164,2025,CA,CDF,HAWICK,2025-06-19,2025-06-19,14,3,1.0,50.6212,2020-2025,290946.0391,2818.873019
165,2025,CA,CDF,RIDER,2025-06-18,2025-06-18,14,3,1.0,49.86058,2020-2025,293122.9648,2843.867003
166,2025,CA,CDF,SPRINGS 3,2025-07-11,2025-07-12,10,7,1.0,49.86013,2020-2025,285834.2344,4416.359927
167,2025,CA,CDF,ACADEMY,2025-05-16,2025-05-17,14,8,1.0,49.72696,2020-2025,287444.6602,3038.434241
168,2025,CA,LRA,SANDY,2025-04-24,2025-04-24,14,4,1.0,48.48575,2020-2025,309725.1211,3774.673752
169,2025,CA,NPS,TOMBSTONE,2025-08-30,2025-11-17,1,6,1.0,48.27648,2020-2025,306097.7695,3459.735384
170,2025,CA,CDF,3-5 LITTLE,2025-07-25,2025-07-25,1,1,1.0,48.16375,2020-2025,342293.4688,3573.269317
171,2025,CA,BLM,BUTTER,2025-08-26,2025-09-03,1,8,1.0,47.95021,2020-2025,293171.0117,4273.999533
172,2025,CA,CDF,NICHOLS,2025-07-07,2025-07-07,2,3,1.0,47.49926,2020-2025,278573.4648,2728.528775
173,2025,CA,BLM,AURORA,2025-07-19,2025-07-21,1,7,1.0,47.04757,2020-2025,281932.5117,4488.114897
174,2025,CA,CDF,GRIZZLY,2025-06-23,2025-06-25,14,2,1.0,46.79976,2020-2025,303708.0195,2722.36149
175,2025,CA,FWS,WASHINGTON,2025-06-23,2025-06-24,2,1,1.0,46.71652,2020-2025,299133.1367,2499.029781
176,2025,CA,USF,JACKET,2025-07-03,2025-07-23,1,7,1.0,46.07977,2020-2025,330710.3281,4757.164011
177,2025,CA,CDF,OAK,2025-08-02,2025-08-04,2,3,1.0,45.90355,2020-2025,270959.3516,2965.613896
178,2025,CA,CCO,FOOTHILL,2025-09-02,2025-09-02,11,6,1.0,45.61524,2020-2025,275096.9297,2198.706194
179,2025,CA,BLM,S-14,2025-09-01,2025-09-02,14,7,1.0,44.3112,2020-2025,317329.4023,3947.414459
180,2025,CA,CCO,GENERAL,2025-07-14,2025-07-14,14,1,1.0,44.18845,2020-2025,268945.6992,4035.50391
181,2025,CA,CCO,HOWE,2025-06-16,2025-06-16,14,7,1.0,43.79828,2020-2025,260906.3828,2936.267662
182,2025,CA,CDF,ANCHOR,2025-05-09,2025-05-09,9,3,1.0,43.42168,2020-2025,273847.2227,2337.666666
183,2025,CA,BLM,MILPAS,2025-05-24,2025-05-28,10,7,1.0,43.19293,2020-2025,257427.3711,3571.695047
184,2025,CA,CDF,POINT,2025-08-23,2025-08-24,7,1,1.0,42.89072,2020-2025,299543.8828,2594.737994
185,2025,CA,CDF,ENERGY,2025-05-12,2025-05-12,2,1,1.0,42.8705,2020-2025,261392.3516,3777.828276
186,2025,CA,CDF,AIRLINE,2025-06-12,2025-06-13,9,5,1.0,42.72174,2020-2025,266984.2383,2951.339598
187,2025,CA,CDF,CARLOS,2025-08-18,2025-08-18,2,7,1.0,42.71249,2020-2025,261035.4648,2752.91154
188,2025,CA,CCO,KECKS ,2025-07-25,2025-07-25,14,1,1.0,42.70273,2020-2025,262601.5664,2405.668281
189,2025,CA,CDF,DISTRICT,2025-07-04,2025-07-06,2,1,1.0,41.83611,2020-2025,284300.6758,3827.582016
190,2025,CA,CDF,DUNES,2025-04-18,2025-04-18,7,1,1.0,41.41012,2020-2025,301833.0234,4052.954898
191,2025,CA,USF,BUTTE,2025-08-07,2025-08-09,1,8,1.0,40.64384,2020-2025,297798.0313,5435.314345
192,2025,CA,CDF,1-2,2025-09-02,2025-09-02,1,1,1.0,40.37952,2020-2025,264709.5508,2493.830589
193,2025,CA,CDF,3-22 MUCK,2025-08-25,2025-08-27,1,8,1.0,39.81916,2020-2025,283037.7734,3908.030421
194,2025,CA,BLM,PEARL,2025-07-25,2025-07-25,14,1,1.0,39.71396,2020-2025,243672.875,2691.874598
195,2025,CA,LRA,TANABE,2025-08-23,2025-08-23,14,2,1.0,39.56842,2020-2025,267484.4648,2718.547227
196,2025,CA,BLM,READING,2025-06-08,2025-06-09,1,3,1.0,39.37916,2020-2025,277068.7578,4128.684001
197,2025,CA,LRA,ROSAMOND,2025-07-30,2025-07-31,14,1,1.0,38.63425,2020-2025,232865.6719,3727.768905
198,2025,CA,CDF,TRAP,2025-07-20,2025-07-24,9,2,1.0,38.32053,2020-2025,246918.2969,3433.767684
199,2025,CA,USF,DRY,2025-06-25,2025-07-01,10,8,1.0,37.35918,2020-2025,242053.3867,2196.067709
200,2025,CA,CDF,JOAQUIN,2025-09-25,2025-09-27,1,3,1.0,36.99887,2020-2025,231121.4727,3338.546056
201,2025,CA,USF,LICK,2025-08-29,2025-11-04,1,3,1.0,36.69459,2020-2025,261248.7188,5014.583505
202,2025,CA,CDF,HIGH,2025-08-25,2025-08-27,10,4,1.0,35.69007,2020-2025,226583.7383,2485.241609
204,2025,CA,CDF,RAVINE,2025-07-03,2025-07-03,9,3,1.0,34.37255,2020-2025,231059.6602,2906.132653
205,2025,CA,CDF,MICHIGAN,2025-09-02,2025-09-02,1,1,1.0,33.97209,2020-2025,224054.168,2914.308965
206,2025,CA,CDF,FOREBAY,2025-09-02,2025-09-02,1,5,1.0,33.85615,2020-2025,230595.9883,3204.181829
207,2025,CA,CDF,SPRINGS,2025-09-01,2025-09-01,9,1,1.0,33.48352,2020-2025,233912.1289,2938.291416
208,2025,CA,CCO,PANAMA,2025-08-22,2025-08-22,14,1,1.0,32.75241,2020-2025,199298.6289,2827.776368
209,2025,CA,USF,SPRINGS,2025-09-05,2025-09-06,14,8,1.0,32.74208,2020-2025,194888.9141,2701.529999
210,2025,CA,CCO,MORNING,2025-05-18,2025-05-21,14,1,1.0,32.22947,2020-2025,196738.0781,2772.073222
